Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Valor_anuncio_float,Valor_anuncio_milhoes,Preço por m²
"Rua Filipe Cardoso, 381 ",Cursino,São Paulo,340,3,4,4,R$ 2.300.000,2300000.0,2.3,6764.705882352941
"Rua Mil Oitocentos e Vinte e Dois, , 974 ",Ipiranga,São Paulo,130,3,2,2,R$ 636.000,636000.0,0.636,4892.307692307692
,Vila Cruzeiro,São Paulo,121,2,2,2,R$ 750.000,750000.0,0.75,6198.347107438017
Rua Froben,Vila Leopoldina,São Paulo,202,3,2,2,R$ 799.000,799000.0,0.799,3955.4455445544554
,Vila Santa Catarina,São Paulo,123,3,3,3,R$ 580.000,580000.0,0.58,4715.447154471544
,Vila Madalena,São Paulo,250,4,5,3,R$ 2.022.000,2022000.0,2.022,8088.0
,Jardim Petrópolis,São Paulo,600,4,6,5,R$ 3.980.000,3980000.0,3.98,6633.333333333333
Rua Carlos Petit,Vila Mariana,São Paulo,200,3,4,3,R$ 1.900.000,1900000.0,1.9,9500.0
,Cidade Monções,São Paulo,215,3,2,1,R$ 2.200.000,2200000.0,2.2,10232.558139534884
Rua Traipu,Pacaembu,São Paulo,280,5,2,1,R$ 2.490.000,2490000.0,2.49,8892.857142857143
Rua General Nestor Passos,Jardim Paraíso,São Paulo,132,3,4,3,R$ 800.000,800000.0,0.8,6060.606060606061
,Jardim Europa,São Paulo,605,4,6,3,R$ 16.500.000,16500000.0,16.5,27272.727272727272
,Vila Buenos Aires,São Paulo,155,3,1,2,R$ 350.000,350000.0,0.35,2258.064516129032
,Jardim Jabaquara,São Paulo,245,3,4,6,R$ 795.000,795000.0,0.795,3244.8979591836733
,Jardim Morro Verde,São Paulo,132,3,3,3,R$ 650.000,650000.0,0.65,4924.242424242424
,Brooklin Paulista,São Paulo,644,4,6,6,R$ 4.800.000,4800000.0,4.8,7453.416149068323
Rua das Begônias,Cidade Jardim,São Paulo,406,4,4,6,R$ 2.800.000,2800000.0,2.8,6896.551724137931
,Jardim Leonor,São Paulo,594,5,6,6,R$ 2.550.000,2550000.0,2.55,4292.929292929293
Alameda Calicut,Chácara Santo Antônio (Zona Sul),São Paulo,450,4,6,8,R$ 3.750.000,3750000.0,3.75,8333.333333333334
"Rua Abadiânia, 430 ",Vila Guilhermina,São Paulo,183,3,3,2,R$ 635.000,635000.0,0.635,3469.945355191257
Avenida Itacira,Planalto Paulista,São Paulo,1005,5,7,14,R$ 6.000.000,6000000.0,6.0,5970.149253731343
Rua das Malvas,Cidade Jardim,São Paulo,368,3,4,6,R$ 4.500.000,4500000.0,4.5,12228.260869565218
Rua Iguatemi,Itaim Bibi,São Paulo,125,3,2,1,R$ 2.500.000,2500000.0,2.5,20000.0
Rua Tordesilhas,Lapa,São Paulo,286,4,5,4,R$ 1.700.000,1700000.0,1.7,5944.055944055944
Rua Henri Dunant,Santo Amaro,São Paulo,145,3,3,2,R$ 1.250.000,1250000.0,1.25,8620.689655172413
,Jardim Londrina,São Paulo,170,3,3,4,R$ 780.000,780000.0,0.78,4588.235294117647
Rua Jesuíno Bandeira,Vila Romana,São Paulo,195,2,2,3,R$ 600.000,600000.0,0.6,3076.923076923077
Rua Francisco Farel,Pinheiros,São Paulo,310,3,5,2,R$ 3.064.000,3064000.0,3.064,9883.870967741936
Rua Estefânia Mendes Pereira,Santana,São Paulo,180,3,4,1,R$ 1.700.000,1700000.0,1.7,9444.444444444445
Rua Leais Paulistanos,Ipiranga,São Paulo,226,3,1,1,R$ 800.000,800000.0,0.8,3539.8230088495575
Rua Dardanelos,Alto da Lapa,São Paulo,104,3,2,2,R$ 850.000,850000.0,0.85,8173.076923076923
Rua Heitor de Morais,Pacaembu,São Paulo,468,6,5,6,R$ 10.000.000,10000000.0,10.0,21367.521367521367
,Jardim Cordeiro,São Paulo,941,4,7,14,R$ 7.900.000,7900000.0,7.9,8395.324123273114
"Rua José Renato Pantoja, 86 ",Vila Sonia,São Paulo,160,3,3,4,R$ 1.100.000,1100000.0,1.1,6875.0
,Vila Romana,São Paulo,329,4,4,3,R$ 1.490.000,1490000.0,1.49,4528.87537993921
Rua Matias Roxo,Vila Leopoldina,São Paulo,100,2,2,3,R$ 650.000,650000.0,0.65,6500.0
Rua Democracia,Vila Brasilina,São Paulo,100,2,2,1,R$ 445.000,445000.0,0.445,4450.0
"Rua Tapirapés, 41 ",Balneário Mar Paulista,São Paulo,250,4,4,10,R$ 900.000,900000.0,0.9,3600.0
,Vila Califórnia,São Paulo,60,1,1,3,R$ 300.000,300000.0,0.3,5000.0
,Sumaré,São Paulo,190,3,4,2,R$ 2.000.000,2000000.0,2.0,10526.315789473685
Rua Mário Ruas Alves,Vila Anhangüera,São Paulo,240,3,4,2,R$ 630.000,630000.0,0.63,2625.0
"Rua Professor José Geraldo de Lima, 232 ",Vila Tiradentes,São Paulo,150,3,3,2,R$ 650.000,650000.0,0.65,4333.333333333333
Rua Artur de Souza Marques,Vila Tramontano,São Paulo,850,5,8,6,R$ 9.000.000,9000000.0,9.0,10588.235294117647
,Chácara Japonesa,São Paulo,115,3,3,2,R$ 1.400.000,1400000.0,1.4,12173.91304347826
,Jardim Ponte Rasa,São Paulo,274,4,3,2,R$ 420.000,420000.0,0.42,1532.846715328467
Rua Manuel Pereira Guimarães,Granja Julieta,São Paulo,208,3,4,2,R$ 1.580.000,1580000.0,1.58,7596.153846153846
,Vila Bela,São Paulo,103,3,2,2,R$ 450.000,450000.0,0.45,4368.9320388349515
Rua Nazaré Paulista,Vila Madalena,São Paulo,244,4,4,3,R$ 1.800.000,1800000.0,1.8,7377.049180327869
Rua Visconde de Porto Seguro,Santo Amaro,São Paulo,1296,5,12,8,R$ 5.700.000,5700000.0,5.7,4398.148148148148
"Rua Bastos Pereira, 267 ",Vila Nova Conceição,São Paulo,440,4,4,3,R$ 7.000.000,7000000.0,7.0,15909.09090909091
,Jardim Marília,São Paulo,150,4,3,1,R$ 350.000,350000.0,0.35,2333.3333333333335
,Parque São Lucas,São Paulo,85,2,2,2,R$ 380.000,380000.0,0.38,4470.588235294118
,Instituto de Previdência,São Paulo,300,4,4,3,R$ 1.550.000,1550000.0,1.55,5166.666666666667
,Jardim Paulista,São Paulo,250,3,2,2,R$ 3.650.000,3650000.0,3.65,14600.0
,Pacaembu,São Paulo,427,4,4,8,R$ 3.400.000,3400000.0,3.4,7962.529274004683
Rua Augusto de Toledo,Cambuci,São Paulo,210,2,4,2,R$ 1.200.000,1200000.0,1.2,5714.285714285715
,Brooklin Paulista,São Paulo,375,3,4,3,R$ 2.190.000,2190000.0,2.19,5840.0
Rua Alvorada do Sul,Jardim Guedala,São Paulo,777,4,6,4,R$ 8.500.000,8500000.0,8.5,10939.51093951094
Rua Domingos Neto,Vila Marari,São Paulo,80,1,1,2,R$ 450.000,450000.0,0.45,5625.0
Rua Doutor Queirós Guimarães,Jardim Guedala,São Paulo,411,4,6,6,R$ 2.500.000,2500000.0,2.5,6082.725060827251
Rua Zacarias de Góis,Brooklin,São Paulo,533,4,3,4,R$ 5.500.000,5500000.0,5.5,10318.949343339587
,Jardim Cordeiro,São Paulo,800,4,6,4,R$ 3.900.000,3900000.0,3.9,4875.0
Rua Teixeira Mendes,Liberdade,São Paulo,185,4,2,2,R$ 750.000,750000.0,0.75,4054.054054054054
,Real Parque,São Paulo,538,4,5,6,R$ 2.200.000,2200000.0,2.2,4089.2193308550186
Rua Alves Guimarães,Pinheiros,São Paulo,125,4,3,4,R$ 2.600.000,2600000.0,2.6,20800.0
,Sumaré,São Paulo,485,3,3,4,R$ 3.800.000,3800000.0,3.8,7835.051546391753
Rua Tenente Sotomano,Jardim Brasil (Zona Norte),São Paulo,71,3,2,2,R$ 450.000,450000.0,0.45,6338.028169014085
,Santo Amaro,São Paulo,158,4,3,4,R$ 2.100.000,2100000.0,2.1,13291.139240506329
Rua Angustura,Vila da Saúde,São Paulo,325,4,6,10,R$ 2.200.000,2200000.0,2.2,6769.2307692307695
"Rua Antônio Cubas, 283 ",Vila Santa Edwiges,São Paulo,155,3,4,3,R$ 700.000,700000.0,0.7,4516.129032258064
Rua Tapes,Jardim Aeroporto,São Paulo,157,5,5,4,R$ 839.000,839000.0,0.839,5343.949044585987
,Parque dos Príncipes,São Paulo,525,4,3,8,R$ 1.700.000,1700000.0,1.7,3238.095238095238
Rua Bandeirante Sampaio Soares,Vila Morumbi,São Paulo,489,5,6,6,R$ 6.700.000,6700000.0,6.7,13701.431492842536
Rua Manoel da Rocha Lins,Rio Bonito,São Paulo,255,5,4,2,R$ 559.000,559000.0,0.559,2192.156862745098
Rua Roque Giangrande Filho,Jardim Itapeva,São Paulo,105,2,1,2,R$ 600.000,600000.0,0.6,5714.285714285715
Rua Berlioz,Alto de Pinheiros,São Paulo,299,5,2,5,R$ 2.200.000,2200000.0,2.2,7357.859531772575
Rua Almirante Soares Dutra,Morumbi,São Paulo,370,4,4,4,R$ 1.800.000,1800000.0,1.8,4864.864864864865
Rua Alemanha,Jardim Europa,São Paulo,545,3,5,3,R$ 7.699.000,7699000.0,7.699,14126.605504587156
,Jardim Guedala,São Paulo,550,4,6,4,R$ 8.500.000,8500000.0,8.5,15454.545454545454
,Vila Brasílio Machado,São Paulo,305,3,4,4,R$ 958.000,958000.0,0.958,3140.9836065573772
Rua São Mateus,Granja Julieta,São Paulo,165,3,4,4,R$ 1.500.000,1500000.0,1.5,9090.90909090909
Avenida Cupecê,Jardim Prudência,São Paulo,172,2,3,1,R$ 693.000,693000.0,0.693,4029.0697674418607
Rua Hermínio Lemos,Cambuci,São Paulo,205,3,5,4,R$ 1.250.000,1250000.0,1.25,6097.5609756097565
Rua Conselheiro João Alfredo,Mooca,São Paulo,295,3,4,2,R$ 640.000,640000.0,0.64,2169.491525423729
"Rua Lomas Valentinas, 0 ",Alto da Lapa,São Paulo,305,4,5,4,R$ 3.300.000,3300000.0,3.3,10819.672131147541
Avenida Moaci,Planalto Paulista,São Paulo,385,3,6,4,R$ 1.690.000,1690000.0,1.69,4389.61038961039
Rua Cássio de Almeida,Vila Guilherme,São Paulo,115,2,1,1,R$ 380.000,380000.0,0.38,3304.3478260869565
Rua Eva Bloch,Bosque da Saúde,São Paulo,155,4,3,4,R$ 1.600.000,1600000.0,1.6,10322.58064516129
Rua Fonseca da Costa,Bosque da Saúde,São Paulo,326,4,2,3,R$ 980.000,980000.0,0.98,3006.134969325153
,Campo Belo,São Paulo,145,3,3,2,R$ 1.100.000,1100000.0,1.1,7586.206896551724
Rua Vitorino Carmilo,Barra Funda,São Paulo,170,3,4,1,R$ 790.000,790000.0,0.79,4647.058823529412
"Rua Franca do Imperador, 241 ",Jardim Vera Cruz(Zona Leste),São Paulo,645,3,2,5,R$ 350.000,350000.0,0.35,542.6356589147287
Rua Ibaragui Nissui,Jardim Vila Mariana,São Paulo,275,4,6,4,R$ 2.120.000,2120000.0,2.12,7709.090909090909
Rua Benjamim Lima,Jabaquara,São Paulo,150,2,4,2,R$ 950.000,950000.0,0.95,6333.333333333333
,Mooca,São Paulo,175,3,3,2,R$ 947.000,947000.0,0.947,5411.428571428572
"Rua Jurupari, 487 ",Jardim Oriental,São Paulo,179,3,4,4,R$ 630.000,630000.0,0.63,3519.5530726256984
Rua Domingos Lopes,Campo Belo,São Paulo,205,2,2,2,R$ 980.000,980000.0,0.98,4780.487804878048
Rua Marechal Bitencourt,Jardim Paulista,São Paulo,1205,3,10,14,R$ 16.000.000,16000000.0,16.0,13278.008298755187
"Rua Aleixo da Silva, 131 ",Vila Almeida,São Paulo,137,3,3,4,R$ 830.000,830000.0,0.83,6058.394160583942
Rua São Bernardo,Cidade Mãe do Céu,São Paulo,134,3,2,5,R$ 850.000,850000.0,0.85,6343.2835820895525
,Granja Julieta,São Paulo,358,3,5,5,R$ 2.500.000,2500000.0,2.5,6983.2402234636875
Rua Penápolis,Pacaembu,São Paulo,300,3,2,4,R$ 2.900.000,2900000.0,2.9,9666.666666666666
"Rua Curucáia, 000 ",Saúde,São Paulo,150,2,4,2,R$ 820.000,820000.0,0.82,5466.666666666667
,Jardim Guedala,São Paulo,751,5,4,6,R$ 4.000.000,4000000.0,4.0,5326.231691078562
,Jardim Patente,São Paulo,176,3,3,4,R$ 745.000,745000.0,0.745,4232.954545454545
Avenida Ramalho Ortigão,Vila Gumercindo,São Paulo,100,2,3,2,R$ 678.000,678000.0,0.678,6780.0
Avenida Bagiru,Alto de Pinheiros,São Paulo,272,3,5,3,R$ 2.200.000,2200000.0,2.2,8088.235294117647
Rua Cruçaí,Vila São José (Ipiranga),São Paulo,123,3,1,2,R$ 820.000,820000.0,0.82,6666.666666666667
Avenida Jandira,Indianópolis,São Paulo,140,3,4,2,R$ 790.000,790000.0,0.79,5642.857142857143
,Chácara Monte Alegre,São Paulo,363,4,6,3,R$ 1.700.000,1700000.0,1.7,4683.195592286502
,Brooklin Paulista,São Paulo,120,2,2,1,R$ 670.000,670000.0,0.67,5583.333333333333
,Vila Sônia,São Paulo,121,2,3,2,R$ 750.000,750000.0,0.75,6198.347107438017
,Pinheiros,São Paulo,157,2,2,1,R$ 1.250.000,1250000.0,1.25,7961.783439490446
"Rua Campo Grande, 175 ",Vila Leopoldina,São Paulo,244,3,3,3,R$ 1.600.000,1600000.0,1.6,6557.377049180328
,Jardim Paulistano,São Paulo,420,3,6,8,R$ 6.500.000,6500000.0,6.5,15476.190476190477
Rua das Jabuticabeiras,Cidade Jardim,São Paulo,857,4,4,5,R$ 8.900.000,8900000.0,8.9,10385.064177362894
Rua Guilherme Rehder,Parque Jabaquara,São Paulo,261,3,4,2,R$ 850.000,850000.0,0.85,3256.704980842912
,Vila Prudente,São Paulo,180,2,2,1,R$ 750.000,750000.0,0.75,4166.666666666667
,Vila Nova Conceição,São Paulo,150,3,3,2,R$ 1.650.000,1650000.0,1.65,11000.0
,Santana,São Paulo,340,7,6,4,R$ 1.596.000,1596000.0,1.596,4694.117647058823
Rua Pamplona,Jardim Paulista,São Paulo,156,4,3,2,R$ 2.340.000,2340000.0,2.34,15000.0
Rua Conde de Porto Alegre,Campo Belo,São Paulo,500,3,6,4,R$ 3.200.000,3200000.0,3.2,6400.0
Rua Jequitai,Indianópolis,São Paulo,138,4,5,2,R$ 1.500.000,1500000.0,1.5,10869.565217391304
,Santo Amaro,São Paulo,350,5,4,4,R$ 2.800.000,2800000.0,2.8,8000.0
,Vila Sônia,São Paulo,535,3,4,4,R$ 2.980.000,2980000.0,2.98,5570.093457943925
Rua Livi,Vila Madalena,São Paulo,153,3,5,2,R$ 2.200.000,2200000.0,2.2,14379.084967320261
,Jardim Paulistano,São Paulo,180,3,1,3,R$ 3.000.000,3000000.0,3.0,16666.666666666668
,Jardim Colombo,São Paulo,232,3,3,4,R$ 890.000,890000.0,0.89,3836.206896551724
,Brooklin Paulista,São Paulo,380,5,8,6,R$ 2.870.000,2870000.0,2.87,7552.631578947368
,Jardim Guedala,São Paulo,545,4,1,10,R$ 8.500.000,8500000.0,8.5,15596.330275229358
,Vila Progredior,São Paulo,680,6,6,4,R$ 2.700.000,2700000.0,2.7,3970.5882352941176
"Rua Visconde de Aguiar Toledo, 50 ",Vila Congonhas,São Paulo,195,3,4,2,R$ 1.750.000,1750000.0,1.75,8974.358974358975
Rua Manuel Jacinto,Vila Morse,São Paulo,180,3,4,6,R$ 897.000,897000.0,0.897,4983.333333333333
,Jardim Guedala,São Paulo,830,5,7,5,R$ 2.900.000,2900000.0,2.9,3493.975903614458
"Rua Laiana, 3 ",Boaçava,São Paulo,435,4,1,6,R$ 4.500.000,4500000.0,4.5,10344.827586206897
Rua Estuário,Chácara Monte Alegre,São Paulo,450,4,7,6,R$ 2.350.000,2350000.0,2.35,5222.222222222223
"Rua Alasca, 144 ",Jardim América,São Paulo,650,5,5,8,R$ 17.500.000,17500000.0,17.5,26923.076923076922
"Rua Alvorada do Sul, 285 ",Jardim Guedala,São Paulo,330,4,5,2,R$ 2.900.000,2900000.0,2.9,8787.878787878788
,Jardim Europa,São Paulo,872,4,5,7,R$ 18.000.000,18000000.0,18.0,20642.201834862386
Avenida Boschetti,Vila Medeiros,São Paulo,115,2,3,2,R$ 405.000,405000.0,0.405,3521.7391304347825
,Vila Nova Conceição,São Paulo,344,4,4,3,R$ 6.400.000,6400000.0,6.4,18604.6511627907
,Vila Anhangüera,São Paulo,124,3,1,2,R$ 650.000,650000.0,0.65,5241.935483870968
"Rua Paulo Barian, 184 ",Jardim Raposo Tavares,São Paulo,160,1,1,2,R$ 500.000,500000.0,0.5,3125.0
"Rua Joaquim Cândido de Azevedo Marques, 1287 ",Vila Morumbi,São Paulo,495,4,2,4,R$ 2.500.000,2500000.0,2.5,5050.50505050505
Rua Osvaldo Leite Ribeiro,Jardim Morumbi,São Paulo,653,4,5,4,R$ 1.636.700,1636700.0,1.6367,2506.4318529862176
"Rua Manduri, 671 ",Jardim Paulistano,São Paulo,455,4,4,3,R$ 3.620.000,3620000.0,3.62,7956.043956043956
Rua Antônio da Veiga,Vila do Castelo,São Paulo,137,2,2,2,R$ 565.000,565000.0,0.565,4124.087591240876
,Vila Ida,São Paulo,490,5,5,6,R$ 2.400.000,2400000.0,2.4,4897.959183673469
Rua Vigário João de Pontes,Santo Amaro,São Paulo,503,4,3,4,R$ 4.350.000,4350000.0,4.35,8648.111332007953
Rua Bastos Tigre,Jardim Niteroi,São Paulo,112,2,1,6,R$ 500.000,500000.0,0.5,4464.285714285715
Rua Barão do Triunfo,Brooklin Paulista,São Paulo,220,3,4,2,R$ 1.910.000,1910000.0,1.91,8681.818181818182
Avenida Manoel dos Reis Araújo,Jardim Marajoara,São Paulo,356,4,5,4,R$ 1.600.000,1600000.0,1.6,4494.38202247191
Rua Geórgia,Brooklin Paulista,São Paulo,270,3,5,2,R$ 1.500.000,1500000.0,1.5,5555.555555555556
Rua Luís Arnoni,Vila Irmãos Arnoni,São Paulo,480,4,6,4,R$ 1.500.000,1500000.0,1.5,3125.0
Rua Professor Sílvio de Sá e Silva,Parque São Domingos,São Paulo,296,5,5,3,R$ 999.900,999900.0,0.9999,3378.0405405405404
Rua das Grumixamas,Vila Parque Jabaquara,São Paulo,310,5,1,5,R$ 2.800.000,2800000.0,2.8,9032.258064516129
Rua Muniz de Sousa,Aclimação,São Paulo,480,3,4,4,R$ 2.000.000,2000000.0,2.0,4166.666666666667
,Jardim Europa,São Paulo,240,3,5,2,R$ 2.700.000,2700000.0,2.7,11250.0
Rua Silveira Campos,Cambuci,São Paulo,180,3,1,2,R$ 900.000,900000.0,0.9,5000.0
,Jardim Monte Kemel,São Paulo,180,3,3,3,R$ 470.000,470000.0,0.47,2611.1111111111113
,Sumaré,São Paulo,138,3,3,1,R$ 950.000,950000.0,0.95,6884.057971014493
,Campo Belo,São Paulo,160,4,4,2,R$ 1.150.000,1150000.0,1.15,7187.5
,Morumbi,São Paulo,615,4,5,6,R$ 3.700.000,3700000.0,3.7,6016.260162601626
Rua Oseas Gomes de Oliveira,Parque dos Príncipes,São Paulo,563,4,2,4,R$ 2.000.000,2000000.0,2.0,3552.3978685612788
Rua Batinga,Vila Nova Mazzei,São Paulo,130,3,2,2,R$ 480.000,480000.0,0.48,3692.3076923076924
"Avenida Moaci, 1812 ",Planalto Paulista,São Paulo,380,3,3,4,R$ 1.690.000,1690000.0,1.69,4447.368421052632
"Praça Barão Pinto Lima, 4 ",Boaçava,São Paulo,520,4,6,8,R$ 4.350.000,4350000.0,4.35,8365.384615384615
"Rua Dom Macário, 175 ",Vila da Saúde,São Paulo,312,3,4,6,R$ 1.400.000,1400000.0,1.4,4487.179487179487
Avenida Iraí,Indianópolis,São Paulo,420,4,6,4,R$ 1.990.000,1990000.0,1.99,4738.0952380952385
,Ipiranga,São Paulo,223,3,6,2,R$ 980.000,980000.0,0.98,4394.6188340807175
Rua Dona Balduína,Sumaré,São Paulo,450,4,5,3,R$ 3.000.000,3000000.0,3.0,6666.666666666667
Rua Princesa Isabel,Brooklin,São Paulo,140,3,3,2,R$ 1.250.000,1250000.0,1.25,8928.57142857143
Rua Zequinha de Abreu,Pacaembu,São Paulo,500,5,5,3,R$ 3.200.000,3200000.0,3.2,6400.0
"Rua Cristiano Viana, 1331 ",Cerqueira César,São Paulo,286,4,5,7,R$ 2.999.800,2999800.0,2.9998,10488.811188811189
"Rua Teixeira Pinto, 50 ",Jardim Paulista,São Paulo,390,4,3,6,R$ 5.500.000,5500000.0,5.5,14102.564102564103
"Rua Arthur Soter Lopes da Silva, 326 ",Jardim Esmeralda,São Paulo,140,3,2,2,R$ 660.000,660000.0,0.66,4714.285714285715
Avenida Indianópolis,Indianópolis,São Paulo,330,4,4,3,R$ 2.490.000,2490000.0,2.49,7545.454545454545
"Rua Manuel Marques Simões, 0 ",Cidade Jardim,São Paulo,1300,5,7,6,R$ 4.200.000,4200000.0,4.2,3230.769230769231
"Rua Keisuke Koza, 0 ",Jardim Trussardi,São Paulo,180,2,3,4,R$ 500.000,500000.0,0.5,2777.777777777778
,Vila Guedes,São Paulo,120,3,2,3,R$ 700.000,700000.0,0.7,5833.333333333333
Rua Professor Miguel Maurício da Rocha,Brooklin Paulista,São Paulo,420,4,5,5,R$ 2.400.000,2400000.0,2.4,5714.285714285715
,Vila Congonhas,São Paulo,270,3,3,4,R$ 960.000,960000.0,0.96,3555.5555555555557
Avenida Manoel dos Reis Araújo,Jardim Marajoara,São Paulo,537,5,11,6,R$ 5.000.000,5000000.0,5.0,9310.986964618249
Rua Salvador de Edra,Saúde,São Paulo,230,4,4,2,R$ 980.000,980000.0,0.98,4260.869565217391
"Rua João Gomes Barbosa, 0 ",Jardim Alvorada (Zona Oeste),São Paulo,230,3,3,2,R$ 689.000,689000.0,0.689,2995.6521739130435
Rua Jorge Tibiriçá,Vila Mariana,São Paulo,300,6,4,2,R$ 1.600.000,1600000.0,1.6,5333.333333333333
Rua Gaurama,Jardim Franca,São Paulo,455,7,8,6,R$ 2.199.997,2199997.0,2.199997,4835.158241758242
Rua São Benedito,Santo Amaro,São Paulo,372,5,3,10,R$ 10.000.000,10000000.0,10.0,26881.720430107525
Rua Macambará,Cidade Monções,São Paulo,144,3,4,2,R$ 1.440.000,1440000.0,1.44,10000.0
,Jardim Vivan,São Paulo,130,2,3,2,R$ 360.000,360000.0,0.36,2769.230769230769
,Brooklin Paulista,São Paulo,330,4,4,4,R$ 1.400.000,1400000.0,1.4,4242.424242424242
Praça Pinheiro da Cunha,Ipiranga,São Paulo,220,3,5,4,R$ 1.272.000,1272000.0,1.272,5781.818181818182
,Lapa,São Paulo,283,4,5,4,R$ 1.799.010,1799010.0,1.79901,6356.925795053004
,Granja Julieta,São Paulo,191,4,4,5,R$ 1.350.000,1350000.0,1.35,7068.062827225131
,Jardim Vila Carrão,São Paulo,200,7,5,1,R$ 1.200.000,1200000.0,1.2,6000.0
Rua Utinga,Chácara Flora,São Paulo,1500,5,8,4,R$ 25.000.000,25000000.0,25.0,16666.666666666668
Rua Conde D'Eu,Santo Amaro,São Paulo,200,3,2,4,R$ 1.790.000,1790000.0,1.79,8950.0
Rua Descalvado,Sumaré,São Paulo,400,4,2,4,R$ 2.400.000,2400000.0,2.4,6000.0
,Pinheiros,São Paulo,140,2,1,1,R$ 1.900.000,1900000.0,1.9,13571.42857142857
Rua Júlio Verne,Jardim Hípico,São Paulo,288,4,6,2,R$ 2.190.000,2190000.0,2.19,7604.166666666667
Rua Guaraiuva,Cidade Monções,São Paulo,90,2,1,1,R$ 880.000,880000.0,0.88,9777.777777777777
"Rua Anatólia, 6 ",Boaçava,São Paulo,615,4,8,8,R$ 5.000.000,5000000.0,5.0,8130.081300813008
,Sacomã,São Paulo,94,2,1,1,R$ 445.000,445000.0,0.445,4734.04255319149
Rua Doutor Sales Gomes Júnior,Vila Paulo Silas,São Paulo,90,3,2,2,R$ 550.000,550000.0,0.55,6111.111111111111
,Alto de Pinheiros,São Paulo,451,4,4,3,R$ 4.000.000,4000000.0,4.0,8869.179600886919
,Jardim Castelo,São Paulo,313,6,4,5,R$ 650.000,650000.0,0.65,2076.67731629393
Rua Florianópolis,Vila Bertioga,São Paulo,180,2,1,1,R$ 650.000,650000.0,0.65,3611.1111111111113
Rua Itália,Jardim Europa,São Paulo,600,3,3,10,R$ 10.500.000,10500000.0,10.5,17500.0
Rua Dom Raimundo Brito,Aclimação,São Paulo,145,3,1,2,R$ 1.200.000,1200000.0,1.2,8275.862068965518
"Rua Henrique Martins, 50 ",Jardim Paulista,São Paulo,420,4,4,2,R$ 3.800.000,3800000.0,3.8,9047.619047619048
,Morumbi,São Paulo,546,4,7,5,R$ 3.500.000,3500000.0,3.5,6410.25641025641
Rua Doutor José Estefno,Jardim Vila Mariana,São Paulo,350,4,6,4,R$ 2.700.000,2700000.0,2.7,7714.285714285715
,Jardim Santo Amaro,São Paulo,125,2,2,4,R$ 800.000,800000.0,0.8,6400.0
Rua Mariano Procópio,Vila Monumento,São Paulo,538,4,2,4,R$ 1.600.000,1600000.0,1.6,2973.977695167286
"Rua Pascoal Pais, 393 ",Vila Cordeiro,São Paulo,210,3,5,4,R$ 2.000.000,2000000.0,2.0,9523.809523809523
Avenida das Magnólias,Cidade Jardim,São Paulo,260,3,5,4,R$ 2.700.000,2700000.0,2.7,10384.615384615385
Rua Vapabussu,Jardim Aeroporto,São Paulo,130,2,3,2,R$ 600.000,600000.0,0.6,4615.384615384615
,Jardim Europa,São Paulo,750,4,4,4,R$ 18.000.000,18000000.0,18.0,24000.0
,Vila Barbosa,São Paulo,216,1,1,3,R$ 380.000,380000.0,0.38,1759.2592592592594
Rua Francisco de Vitória,Jardim Vila Mariana,São Paulo,220,3,3,4,R$ 1.400.000,1400000.0,1.4,6363.636363636364
Rua Damiro de Oliveira Volpe,Vila Nova Conceição,São Paulo,140,2,3,2,R$ 2.350.000,2350000.0,2.35,16785.714285714286
Rua Guarei,Vila Bertioga,São Paulo,104,3,2,2,R$ 460.000,460000.0,0.46,4423.076923076923
,Vila Inah,São Paulo,170,3,4,4,R$ 1.300.000,1300000.0,1.3,7647.058823529412
"Rua Luiz Nunes, 7 ",Parque Ramos Freitas,São Paulo,200,3,2,1,R$ 250.000,250000.0,0.25,1250.0
Rua Antônio de Macedo Soares,Campo Belo,São Paulo,380,3,4,5,R$ 2.819.000,2819000.0,2.819,7418.421052631579
,Parque Imperial,São Paulo,120,2,3,3,R$ 600.000,600000.0,0.6,5000.0
"Rua Keisuke Koza, 165 ",Jardim Trussardi,São Paulo,200,3,4,2,R$ 1.100.000,1100000.0,1.1,5500.0
Avenida Itacira,Planalto Paulista,São Paulo,322,4,5,4,R$ 1.950.000,1950000.0,1.95,6055.900621118012
Rua Timbó,Mooca,São Paulo,175,3,2,2,R$ 940.000,940000.0,0.94,5371.428571428572
,Campininha,São Paulo,102,2,1,1,R$ 470.000,470000.0,0.47,4607.843137254902
,Jardim Paulista,São Paulo,490,4,4,4,R$ 5.000.000,5000000.0,5.0,10204.081632653062
Avenida Moaci,Planalto Paulista,São Paulo,160,3,4,3,R$ 1.020.000,1020000.0,1.02,6375.0
Avenida Sílvio Sciumbata,Interlagos,São Paulo,945,4,7,5,R$ 2.680.000,2680000.0,2.68,2835.978835978836
Rua Atalaia,Sumaré,São Paulo,400,4,6,3,R$ 2.800.000,2800000.0,2.8,7000.0
Avenida Biarritz,Vila Represa,São Paulo,284,4,8,4,R$ 2.009.000,2009000.0,2.009,7073.943661971831
,Jardim Paulista,São Paulo,526,4,4,3,R$ 11.000.000,11000000.0,11.0,20912.54752851711
,Vila Bela,São Paulo,166,2,3,2,R$ 430.000,430000.0,0.43,2590.3614457831327
Rua Marcelino Champagnat,Jardim da Glória,São Paulo,367,4,6,5,R$ 3.100.000,3100000.0,3.1,8446.866485013625
