Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Valor_anuncio_float,Valor_anuncio_milhoes,Preço por m²
"Avenida Itacira, 255 ",Planalto Paulista,São Paulo,1000,4,8,6,R$ 7.000.000,7000000.0,7.0,7000.0
"Rua Aurelia Perez Alvarez, 42 ",Jardim dos Estados,São Paulo,496,4,4,4,R$ 3.700.000,3700000.0,3.7,7459.677419354839
Rua Alba Valdez,Jardim Reimberg,São Paulo,125,4,3,2,R$ 380.000,380000.0,0.38,3040.0
,Jardim Morumbi,São Paulo,310,3,2,4,R$ 685.000,685000.0,0.685,2209.6774193548385
"Rua Tobias Barreto, 195 ",Mooca,São Paulo,100,3,2,2,R$ 540.000,540000.0,0.54,5400.0
Rua Graham Bell,Santo Amaro,São Paulo,440,4,4,6,R$ 1.980.000,1980000.0,1.98,4500.0
"Rua Francisco Paulo, 31 ",Cidade Mãe do Céu,São Paulo,145,4,4,2,R$ 850.000,850000.0,0.85,5862.068965517241
"Rua Guilherme Valente, 150 ",Jardim Vergueiro,São Paulo,150,2,2,2,R$ 450.000,450000.0,0.45,3000.0
"Rua Sagrada Família, 8 ",Jardim Benfica,São Paulo,48,2,1,1,R$ 199.900,199900.0,0.1999,4164.583333333333
Rua Tapaji,Vila Alpina,São Paulo,114,3,3,2,R$ 585.000,585000.0,0.585,5131.578947368421
"Rua Vigário João Álvares, 66 ",Vila Monumento,São Paulo,261,4,4,3,R$ 700.000,700000.0,0.7,2681.992337164751
,Jardim Luzitânia,São Paulo,436,4,3,3,R$ 15.000,15000.0,0.015,34.403669724770644
"Rua Tuim, 449 ",Vila Uberabinha,São Paulo,193,3,3,2,R$ 2.500.000,2500000.0,2.5,12953.36787564767
"Rua Antônio Pereira Mendes, 98 ",Jardim Prudência,São Paulo,251,3,5,4,R$ 1.700.000,1700000.0,1.7,6772.908366533865
"Rua João Antunes Carvalho, 75 ",Lauzane Paulista,São Paulo,300,4,5,4,R$ 1.150.000,1150000.0,1.15,3833.3333333333335
Rua Timbé,Jardim Santa Maria,São Paulo,135,3,3,2,R$ 550.000,550000.0,0.55,4074.074074074074
Rua João Tauler,Vila Nova,São Paulo,180,4,2,4,R$ 420.000,420000.0,0.42,2333.3333333333335
"Rua Alice Garcia Vega, 345 ",Itaberaba,São Paulo,300,3,5,4,R$ 2.232.000,2232000.0,2.232,7440.0
